Planet,Radius,Mass,Orbital Speed ,Angular Speed ,Distance From Sun 
HOM, 1.0000000000000E+00 , 1.0000000000000E+00 , 1.0000000000000E+00 , 1.0000000000000E+00 , 1.0000000000000E+00 
LUN, 2.7270444200283E-01 , 1.2303146902560E-02 , 3.4318334452653E+01 , 1.7153748411690E-12 , 1.0026737967914E+00 
SOL, 1.0929838329933E+02 , 3.3304365735183E+05 , 7.7233042310275E-03 , 0.0000000000000E+00 , 0.0000000000000E+00 
MER, 3.8293831423638E-01 , 5.5004947933673E-02 , 1.5903290799194E+00 , 6.8805590851334E-03 , 3.8770053475936E-01 
VEN, 9.4989797520013E-01 , 8.1494393179052E-01 , 1.1759570181330E+00 , 4.1423125794155E-03 , 7.2192513368984E-01 
MARS, 5.3202009103751E-01 , 1.0699592611756E-01 , 8.0859637340497E-01 , 5.5019059720457E-01 , 1.5240641711230E+00 
JUP, 1.0973316590802E+01 , 3.1780636583900E+02 , 4.5668233713902E-01 , 2.8959974587039E+01 , 5.2005347593583E+00 
SAT, 9.1401663789044E+00 , 9.5157722711434E+01 , 3.2538616521155E-01 , 2.3405336721728E+01 , 9.3582887700535E+00 
URN, 3.9808507298697E+00 , 1.4535706332183E+01 , 2.2800537273338E-01 , 9.3989834815756E+00 , 1.9385026737968E+01 
NEP, 3.8646994192435E+00 , 1.7129394744641E+01 , 1.8300873069174E-01 , 6.1747141041931E+00 , 3.0080213903743E+01 
PLU, 1.8651703029352E-01 , 2.1918257791530E-03 , 1.5580926796508E-01 , 0.0000000000000E+00 , 3.9438502673797E+01 
